HeaderClubs,Clubs,Clubs,
HeaderCours,My courses,Mes cours,
HeaderProfil,Profile,Profil,
HeaderHistory,History,Historique,
HeaderDeconnexion,Log off,Déconnexion,
HeaderFranchises,My franchises, Mes franchises,
HeaderAddFranchise,Add a franchise, Ajouter une franchise,
HeaderAddCompany,Add my company, Ajouter mon entreprise,
SheduleLangue,en,fr,
SheduleTitleMyCourses,My courses,Mes cours,
SheduleTitlePopUpPerso,Your sports class: ,Mon cours:,
ShedulePrestation,Service,Prestation,
SheduleCoach,Coach,Professeur,
SheduleClient,Client,Client,
SheduleTitleCoachCourses,Coach's calendar,Calendrier du Professeur,
SheduleCoachAdd,Reserve the :,Reserver le créneau de :,Remplacer le créneau de :,
SheduleCoachReplace,Replace the slot for :,Remplacer le créneau de :,
SheduleCoachNotAvailable,The coach does not work during these times or the selected time has already passed.,Le Coach ne travail pas durant ces horraires ou l'horraire selectionner est deja passer,
Book,Book,Réserver,
Update,Update,Modifier,
Delete,Delete,Supprimer,
Cancel,Cancel,Annuler,
Back,Back,Retour,
RequestAddCompany,Request to add my company,Demande d'ajout de mon entreprise,
PendingCompany,Your request has been taken into account and will be processed as soon as possible.,Votre demande a bien été prise en compte et sera traitée dans les meilleurs délais.,
AcceptedCompany,Your company has already been approved.,Votre entreprise a déjà été approuvée.,
Save,Save,Sauvegarder,
session, session, séance,
NoService, No service, Pas de prestation,
MyHistory, My history, Mon historique,
Service, Service, Prestation,
ClientFirstName, Client first name, Prénom du client,
ClientLastName, Client last name, Nom du client,
CoachFirstName, Coach first name, Prénom du coach,
CoachLastName, Coach last name, Nom du coach,
FirstName, First name, Prénom,
LastName, Last name, Nom,
StartOfService, Start of service, Début de la prestation,
EndOfService, End of service, Fin de la prestation,
Reschedule, Reschedule, Reprendre,
UpdateFranchise, Update franchise, Modifier la franchise,
SeeTheClub, See the club, Voir le club,
MyFranchises, My franchises, Mes franchises,
AddCompany, Add my company, Ajouter mon entreprise,
AddFranchise, Add franchise, Ajouter une franchise,
CompanyNotApplied, You have not yet applied to set up your company., Vous n'avez pas encore demandé la création de votre entreprise.,
Loading, Loading, Chargement,
RequestCompany, Request the addition of your company, Demander l'ajout de votre entreprise,
CompanyName, Name, Libellé,
Request, Request, Demander,
Adress, Adress, Adresse,
City, City, Ville,
ZipCode, Zip code, Code postal,
Add, Add, Ajouter,
NumberBookingByCoach, Number of bookings per coach, Nombre de réservations par coach,
NumberBookingByService, Number of bookings per service, Nombre de réservations par prestation,
NumberBooking, Number of bookings, Nombre de réservations,
NumberOfBookingForTheService, Number of bookings for the service, Nombre de réservations pour la prestation,
MoneyEarned, Money earned for each franchise, Argent gagné pour chaque franchise,
FranchiseWon, The franchise won, La franchise a gagné,
Role, Role, Rôle,
AddUser, Add a user, Ajouter un utilisateur,
AddCoach, Add a coach, Ajouter un coach,
AddService, Add a service, Ajouter une prestation,
UpdateCoach, Update a coach, Modifier un coach,
UpdateService, Update a service, Modifier une prestation,
Verified, Verified, Vérifié,
Verify, Verify, Vérifier,
Unverify, Unverify, Réfuter,
ViewKBIS, View KBIS, Voir le KBIS,
ManagerToAssociate, Manager to associate, Manager à associer,
EnterYourEmail, Enter your email, Entrez votre email,
YourEmail, Your email, Votre email,
IfYourEmailExist, "If your email address exists, check your inbox","Si votre email existe, regardez dans votre boite mail",
LogIn, Log in, Se connecter,
SignUp, Sign up, S'inscrire,
Password, Password, Mot de passe,
NewPassword, New password, Nouveau mot de passe,
ConfirmationPassword, Confirmation password, Confirmation du mot de passe,
Search, Search, Rechercher,
NoFranchisesMessage, You have not yet created any franchises., Vous n'avez pas encore créé de franchises.,
ViewCoach, View coach, Voir le coach,
BookASlot, Book a slot, Réserver un créneau,
NoCoachAvailable, No coach available, Aucun coach disponible,
Price, Price, Prix,
NoServiceForThisFranchise, No service for this franchise, Pas de prestation pour cette franchise,
NoCoachForThisService, No coach for this service, Pas de coach pour cette prestation,
ConnexionInProgress, Connexion in progress, Connexion en cours,
EmailOrPasswordIncorrect, Email or password incorrect, Email ou mot de passe incorrect,
ErrorOccured, An error has occurred while trying to connect. Please try again later., Une erreur est survenue lors de la tentative de connexion. Veuillez réessayer plus tard.,
DontHaveAccount, Don't have an account ?, Vous n'avez pas de compte ?,
Register, Register, Inscrivez-vous,
ConnectYou, Connect you, Connectez-vous,
ForgotPassword, Forgot your password ?, Mot de passe oublié ?,
PasswordDontMatch, The passwords do not match, Les mots de passe ne correspondent pas,
AlreadyHaveAccount, Already have an account ?, Vous avez déjà un compte ?,
Company, Company, Entreprise,
SaveInProgress, Save in progress..., Sauvegarde en cours...,
