test,testfr,
HeaderClubs,Clubs,
HeaderCours,Mes cours,
HeaderProfil,Profil,
HeaderHistory,Historique,
HeaderDeconnexion,Déconnexion,
SheduleLangue,fr,
SheduleTitleMyCourses,Mes cours,
SheduleTitlePopUpPerso,Mon cours:,
ShedulePrestation,Prestation,
SheduleCoach,Professeur,
SheduleClient,Client,
SheduleTitleCoachCourses,Calendrier du Professeur,
SheduleCoachAdd,Reserver le créneau de :,
SheduleCoachReplace,Remplacer le créneau de :,
SheduleCoachNotAvailable,Le Coach ne travail pas durant ces horraires ou l'horraire selectionner est deja passer,
Book,Réserver,
Update,Modifier,
Delete,Supprimer,
Cancel,Annuler,
